cordon,zone_ext,direction,flux_type,charge,classe_distance,nb_pl_jour,distance_km,dep_ext,reg_ext,mz_ext,com_ext
chalon,343,sortant,I,V,D2,0.03,101.3,21.0,1.0,23.0,21603.0
chalon,346,entrant,I,C,D2,0.03,143.0,21.0,1.0,25.0,21599.0
chalon,346,entrant,I,V,D2,0.01,143.0,21.0,1.0,25.0,21599.0
chalon,346,sortant,I,C,D2,0.05,139.1,21.0,1.0,25.0,21599.0
chalon,346,sortant,I,V,D2,0.04,139.1,21.0,1.0,25.0,21599.0
chalon,351,entrant,I,C,D2,0.49,159.6,89.0,1.0,6.0,89024.0
chalon,351,entrant,I,C,D3,0.03,221.3,89.0,1.0,6.0,89024.0
chalon,351,entrant,I,V,D2,0.15,159.6,89.0,1.0,6.0,89024.0
chalon,351,entrant,I,V,D3,0.01,221.3,89.0,1.0,6.0,89024.0
chalon,351,sortant,I,C,D2,0.3,159.4,89.0,1.0,6.0,89024.0
chalon,351,sortant,I,C,D3,0.04,221.7,89.0,1.0,6.0,89024.0
chalon,351,sortant,I,V,D2,0.22,159.4,89.0,1.0,6.0,89024.0
chalon,351,sortant,I,V,D3,0.01,221.7,89.0,1.0,6.0,89024.0
chalon,352,entrant,I,C,D2,0.03,193.0,70.0,1.0,17.0,70285.0
chalon,352,entrant,I,C,D3,0.07,224.0,70.0,1.0,17.0,70285.0
chalon,352,entrant,I,V,D2,0.03,193.0,70.0,1.0,17.0,70285.0
chalon,352,entrant,I,V,D3,0.08,224.0,70.0,1.0,17.0,70285.0
chalon,355,entrant,I,C,D2,0.62,141.1,58.0,1.0,1.0,58194.0
chalon,355,entrant,I,V,D2,0.37,141.8,58.0,1.0,1.0,58194.0
chalon,355,sortant,I,C,D2,0.32,150.7,58.0,1.0,1.0,58194.0
chalon,355,sortant,I,V,D2,0.23,150.7,58.0,1.0,1.0,58194.0
chalon,358,entrant,I,C,D2,0.04,151.1,25.0,1.0,36.0,25454.0
chalon,358,entrant,I,V,D2,0.02,151.1,25.0,1.0,36.0,25454.0
chalon,359,entrant,I,C,D2,0.25,174.3,89.0,1.0,,89292.0
chalon,359,entrant,I,V,D2,0.06,174.3,89.0,1.0,,89292.0
chalon,362,entrant,I,C,D2,2.0,112.8,39.0,1.0,28.0,39462.0
chalon,362,entrant,I,V,D2,1.34,112.8,39.0,1.0,28.0,39462.0
chalon,362,sortant,I,C,D2,1.13,112.4,39.0,1.0,28.0,39462.0
chalon,362,sortant,I,V,D2,1.47,112.4,39.0,1.0,28.0,39462.0
chalon,370,entrant,I,C,D2,0.03,107.7,25.0,1.0,36.0,25084.0
chalon,370,entrant,I,V,D2,0.03,107.7,25.0,1.0,36.0,25084.0
chalon,370,sortant,I,C,D2,0.67,104.0,25.0,1.0,36.0,25084.0
chalon,370,sortant,I,V,D2,0.21,104.0,25.0,1.0,36.0,25084.0
